x,y,z
-4.588988210052356,-6.131099793540752,-3.374978278236365
-4.588988210052356,-6.131099793540752,-2.7613603119466927
-4.588988210052356,-6.131099793540752,-2.1477423456570204
-4.588988210052356,-6.131099793540752,-1.534124379367348
-4.588988210052356,-6.131099793540752,-0.9205064130776757
-4.588988210052356,-6.131099793540752,-0.3068884467880033
-4.588988210052356,-6.131099793540752,0.30672951950166905
-4.588988210052356,-6.131099793540752,0.9203474857913418
-4.588988210052356,-6.131099793540752,1.5339654520810138
-4.588988210052356,-6.131099793540752,2.1475834183706857
-4.588988210052356,-6.131099793540752,2.7612013846603585
-4.588988210052356,-6.131099793540752,3.3748193509500313
-4.588988210052356,-5.4545264186970694,-3.374978278236365
-4.588988210052356,-5.4545264186970694,-2.7613603119466927
-4.588988210052356,-5.4545264186970694,-2.1477423456570204
-4.588988210052356,-5.4545264186970694,-1.534124379367348
-4.588988210052356,-5.4545264186970694,-0.9205064130776757
-4.588988210052356,-5.4545264186970694,-0.3068884467880033
-4.588988210052356,-5.4545264186970694,0.30672951950166905
-4.588988210052356,-5.4545264186970694,0.9203474857913418
-4.588988210052356,-5.4545264186970694,1.5339654520810138
-4.588988210052356,-5.4545264186970694,2.1475834183706857
-4.588988210052356,-5.4545264186970694,2.7612013846603585
-4.588988210052356,-5.4545264186970694,3.3748193509500313
-4.588988210052356,-4.777953043853386,-3.374978278236365
-4.588988210052356,-4.777953043853386,-2.7613603119466927
-4.588988210052356,-4.777953043853386,-2.1477423456570204
-4.588988210052356,-4.777953043853386,-1.534124379367348
-4.588988210052356,-4.777953043853386,-0.9205064130776757
-4.588988210052356,-4.777953043853386,-0.3068884467880033
-4.588988210052356,-4.777953043853386,0.30672951950166905
-4.588988210052356,-4.777953043853386,0.9203474857913418
-4.588988210052356,-4.777953043853386,1.5339654520810138
-4.588988210052356,-4.777953043853386,2.1475834183706857
-4.588988210052356,-4.777953043853386,2.7612013846603585
-4.588988210052356,-4.777953043853386,3.3748193509500313
-4.588988210052356,-4.101379669009702,-3.374978278236365
-4.588988210052356,-4.101379669009702,-2.7613603119466927
-4.588988210052356,-4.101379669009702,-2.1477423456570204
-4.588988210052356,-4.101379669009702,-1.534124379367348
-4.588988210052356,-4.101379669009702,-0.9205064130776757
-4.588988210052356,-4.101379669009702,-0.3068884467880033
-4.588988210052356,-4.101379669009702,0.30672951950166905
-4.588988210052356,-4.101379669009702,0.9203474857913418
-4.588988210052356,-4.101379669009702,1.5339654520810138
-4.588988210052356,-4.101379669009702,2.1475834183706857
-4.588988210052356,-4.101379669009702,2.7612013846603585
-4.588988210052356,-4.101379669009702,3.3748193509500313
-4.588988210052356,-3.42480629416602,-3.374978278236365
-4.588988210052356,-3.42480629416602,-2.7613603119466927
-4.588988210052356,-3.42480629416602,-2.1477423456570204
-4.588988210052356,-3.42480629416602,-1.534124379367348
-4.588988210052356,-3.42480629416602,-0.9205064130776757
-4.588988210052356,-3.42480629416602,-0.3068884467880033
-4.588988210052356,-3.42480629416602,0.30672951950166905
-4.588988210052356,-3.42480629416602,0.9203474857913418
-4.588988210052356,-3.42480629416602,1.5339654520810138
-4.588988210052356,-3.42480629416602,2.1475834183706857
-4.588988210052356,-3.42480629416602,2.7612013846603585
-4.588988210052356,-3.42480629416602,3.3748193509500313
